time_s,rppg,ppg
1762522844.021771,0.234328,-0.921630
1762522844.055104,-0.044154,-0.921630
1762522844.088438,-0.553850,-0.921630
1762522844.121772,-1.208614,-0.921630
1762522844.155105,-1.733515,-0.921630
1762522844.188439,-1.898803,-0.770953
1762522844.221772,-1.482981,-0.486978
1762522844.255106,-0.597259,-0.121001
1762522844.288440,0.606604,0.271948
1762522844.321773,1.673290,0.637544
1762522844.355107,2.383700,0.923672
1762522844.388441,2.449920,1.083695
1762522844.421774,2.037496,1.084265
1762522844.455108,1.294114,0.916211
1762522844.488441,0.583503,0.603105
1762522844.521775,-0.033098,0.201312
1762522844.555109,-0.436520,-0.211402
1762522844.588443,-0.810100,-0.555983
1762522844.621776,-1.097972,-0.773261
1762522844.655110,-1.350039,-0.837550
1762522844.688443,-1.390151,-0.757657
1762522844.721777,-1.190314,-0.566650
1762522844.755111,-0.656600,-0.307111
1762522844.788444,0.032449,-0.019815
1762522844.821778,0.743277,0.259696
1762522844.855112,1.136623,0.498186
1762522844.888445,1.242795,0.661471
1762522844.921779,1.012699,0.716963
1762522844.955112,0.731574,0.643690
1762522844.988446,0.412323,0.445303
1762522845.021780,0.203162,0.157877
1762522845.055113,-0.113217,-0.154288
1762522845.088447,-0.495398,-0.415741
1762522845.121781,-1.048445,-0.563710
1762522845.155114,-1.522069,-0.568569
1762522845.188448,-1.752774,-0.442238
1762522845.221781,-1.425147,-0.231658
1762522845.255115,-0.613210,-0.001354
1762522845.288449,0.535241,0.186730
1762522845.321782,1.482107,0.288478
1762522845.355116,1.916496,0.284407
1762522845.388450,1.516252,0.179240
1762522845.421783,0.535156,-0.002179
1762522845.455117,-0.735225,-0.219949
1762522845.488451,-1.713715,-0.424968
1762522845.521784,-2.159221,-0.567035
1762522845.555118,-1.869963,-0.605810
1762522845.588451,-1.110071,-0.522536
1762522845.621785,-0.113843,-0.327911
1762522845.655119,0.705011,-0.061472
1762522845.688452,1.195202,0.219104
1762522845.721786,1.268160,0.455689
1762522845.755120,1.098683,0.607567
1762522845.788453,0.794563,0.662331
1762522845.821787,0.507404,0.635806
1762522845.855120,0.273333,0.562009
1762522845.888454,0.219525,0.478257
1762522845.921788,0.261670,0.411815
1762522845.955121,0.402278,0.372816
1762522845.988455,0.487229,0.354746
1762522846.021789,0.563520,0.340592
1762522846.055122,0.538468,0.311206
1762522846.088456,0.451382,0.252586
1762522846.121789,0.241363,0.160069
1762522846.155123,0.037944,0.038862
1762522846.188457,-0.198928,-0.098508
1762522846.221790,-0.372553,-0.236620
1762522846.255124,-0.537668,-0.361965
1762522846.288458,-0.644647,-0.466538
1762522846.321791,-0.743407,-0.548869
1762522846.355125,-0.784800,-0.612002
1762522846.388458,-0.783058,-0.659236
1762522846.421792,-0.760864,-0.689623
1762522846.455126,-0.736615,-0.695510
1762522846.488459,-0.765721,-0.663473
1762522846.521793,-0.813595,-0.578416
1762522846.555127,-0.839253,-0.429183
1762522846.588460,-0.765120,-0.213592
1762522846.621794,-0.505114,0.058493
1762522846.655128,-0.047144,0.364377
1762522846.688461,0.592385,0.669656
1762522846.721795,1.212364,0.931143
